0.00 -4.28
0.04 -5.33
0.07 -4.10
0.10 -3.63
0.15 -3.39
0.18 -3.23
0.22 -3.56
0.25 -2.31
0.28 -2.17
0.31 -1.72
0.36 -1.68
0.39 -2.52
0.42 -1.86
0.47 -0.13
0.50 -0.39
0.53 -0.36
0.56 -0.61
0.59 -0.47
0.63 -0.66
0.68 0.45
0.71 0.14
0.75 0.65
0.77 -0.07
0.82 1.03
0.84 0.97
0.88 0.73
0.92 0.82
0.95 1.78
0.99 1.86
1.02 2.44
1.06 1.80
1.11 2.47
1.12 0.97
1.18 1.04
1.21 1.62
1.25 1.28
1.28 2.37
1.31 2.50
1.34 2.98
1.37 3.11
1.41 1.94
1.46 3.10
1.49 1.58
1.52 1.98
1.56 1.42
1.58 1.61
1.62 1.04
1.66 1.29
1.69 1.75
1.73 2.60
1.76 2.43
1.81 1.35
1.84 1.24
1.88 0.90
1.91 2.00
1.95 0.26
1.99 0.42
2.02 0.42
2.05 0.06
2.08 0.83
2.12 -0.10
2.15 -0.63
2.19 -0.15
2.22 -0.65
2.27 -0.99
2.31 -1.31
2.33 -0.19
2.37 -0.72
2.41 -1.17
2.44 -0.74
2.48 -0.97
2.51 -0.99
2.55 -3.02
2.59 -1.77
2.62 -2.22
2.66 -3.81
2.69 -3.74
2.72 -4.50
2.76 -4.13
2.79 -4.04
2.84 -4.18
2.86 -4.56
2.90 -5.01
2.93 -5.80
2.97 -6.02
3.01 -6.27
3.03 -7.40
3.08 -8.32
3.11 -8.69
3.15 -8.31
3.18 -8.96
3.22 -8.35
3.25 -9.26
3.30 -9.41
3.32 -10.99
3.35 -10.78
3.40 -11.44
3.44 -12.95
3.46 -11.82
3.49 -12.65
