#20% 20% 25% 35% 
70 69.5 66 72
40 61 40.5 52
90 60.5 100 82
110 88.5 63 76
82 74 81 74
72 80.5 30 60
77 80 60 72
70 58.5 49.5 58
61 60 52.5 60
68 63.5 28.5 56
90 79 67.5 74
43 67 31.5 54
109 56 57 62
35 79.5 21 50
110 68.5 94.5 84
95 78.5 69 70
85 84 69 70
62 73 82.5 70
101 53 100 78
89 91.5 73.5 74
86 71 49.5 72
66 64 37.5 46
110 92.5 100 100
73 54 19.5 56
70 66 48 56
56 72 90 70
75 70 43.5 64
68 53 12 48
101 64.5 91.5 82
87 52 85.5 72
57 63.5 72 68
78 82 64.5 66
110 55.5 97.5 86
71 84 70.5 70
48 48 70.5 58
60 50 15 50
93 82 100 86
86 80 70.5 78
67 68 63 64
80 73 90 76
65 74 67.5 74
74 72 12 54
75 77 75 72
75 47.5 50 62
55 63.5 85.5 70
69 65 61.5 60
95 58 33 62
97 62 97.5 66
47 53 48 58
85 66.5 67.5 64
85 63.5 54 60
94 23.4 70.5 60
60 45.5 33 52
105 78 27 72
67 74 73.5 74
49 67.5 100 64
66 75 90 76
58 74 46.5 62
95 79.5 51 70
95 60.5 84 70
77 72 64.5 70
